landbase,discount_rate,period,projected_mcf,realized_mcf
1,0.0,1,9396.771439453125,9396.771439453125
1,0.0,2,9396.771439453127,9396.771439453125
1,0.0,3,9396.771439453127,9396.771439453125
1,0.0,4,9396.771439453125,9396.771439453125
1,0.0,5,9396.771439453125,9396.771439453123
1,0.0,6,9396.771439453125,9396.771439453125
1,0.0,7,9396.771439453129,9396.771439453125
1,0.0,8,9396.771439453125,9396.771439453125
1,0.0,9,9396.771439453127,9396.771439453125
1,0.0,10,9396.771439453125,8989.339627665113
1,0.0,11,9396.771439453125,9210.020541193528
1,0.0,12,9396.771439453125,9396.771439453125
1,0.0,13,9396.771439453127,9396.771439453125
1,0.0,14,9396.771439453125,9396.771434240001
1,0.0,15,9396.771439453125,9396.771439453125
1,0.02,1,9620.504092773439,9620.504092773439
1,0.02,2,9620.504092773439,9620.504092773437
1,0.02,3,9620.50409277344,9620.504092773435
1,0.02,4,9620.504092773439,9620.504092773437
1,0.02,5,9620.504092773437,9620.504092773437
1,0.02,6,9620.504092773439,9620.504092773437
1,0.02,7,9620.504092773439,9620.504094556
1,0.02,8,9620.504092773437,9620.504092773437
1,0.02,9,9620.504092773437,9620.50409532
1,0.02,10,9620.504092773437,9620.504092773437
1,0.02,11,9620.504092773437,9620.50409532
1,0.02,12,9620.504092773437,9620.504092773437
1,0.02,13,9620.504092773439,9620.504092773437
1,0.02,14,6842.732620825069,9257.774044936667
1,0.02,15,9620.504092773437,9620.504092773437
1,0.04,1,9396.771439453125,9396.771439453125
1,0.04,2,9396.771439453127,9396.771439453127
1,0.04,3,9396.771439453127,9396.771439453125
1,0.04,4,9396.771439453125,9396.771439453125
1,0.04,5,9396.771439453125,9396.771439453125
1,0.04,6,9396.771439453125,9396.771439453125
1,0.04,7,9396.771439453129,9396.77143110915
1,0.04,8,9396.771439453125,9396.771440886874
1,0.04,9,9396.771439453127,9396.77144034
1,0.04,10,9396.771439453125,9396.771439453125
1,0.04,11,9396.771439453125,9396.771439453125
1,0.04,12,9396.771439453125,9396.771439453125
1,0.04,13,9396.771439453127,9396.771439453125
1,0.04,14,9396.771439453125,9262.539470015
1,0.04,15,9396.771439453125,9396.77144
1,0.06,1,9396.771439453125,9396.771439453125
1,0.06,2,9396.771439453127,9396.771439453127
1,0.06,3,9396.771439453127,9396.771439453127
1,0.06,4,9396.771439453125,9396.771439453125
1,0.06,5,9396.771439453125,9396.771439453125
1,0.06,6,9396.771439453125,9396.771439453125
1,0.06,7,9396.771439453129,9077.153368355199
1,0.06,8,9396.771439453125,9396.771439453125
1,0.06,9,9396.771439453127,9396.771438840002
1,0.06,10,9396.771439453125,9396.771439453125
1,0.06,11,9396.771439453125,9396.771439453125
1,0.06,12,9396.771439453125,9396.771439453125
1,0.06,13,9396.771439453127,9396.771439453125
1,0.06,14,9396.771439453125,9396.771439453125
1,0.06,15,9396.771439453125,9396.77144
2,0.0,1,11745.964299316409,11745.964299316407
2,0.0,2,11745.964299316409,11745.964299316409
2,0.0,3,11745.964299316409,11745.964299316409
2,0.0,4,11745.964299316409,11745.964299316407
2,0.0,5,11745.964299316409,11745.964299316409
2,0.0,6,11745.964299316405,11745.964299316409
2,0.0,7,11745.964299316413,11745.96429931641
2,0.0,8,11745.964299316409,11745.964299316405
2,0.0,9,11745.964299316407,11745.964299316409
2,0.0,10,11745.96429931641,11236.674529075775
2,0.0,11,11745.964299316407,11512.525682394351
2,0.0,12,11745.96429931641,11745.964299316409
2,0.0,13,11745.96429931641,11745.964299316409
2,0.0,14,11745.964299316409,11745.96430354
2,0.0,15,11745.964299316409,11745.964299316409
2,0.02,1,12025.630115966798,12025.6301159668
2,0.02,2,12025.630115966798,12025.6301159668
2,0.02,3,12025.6301159668,12025.630115966793
2,0.02,4,12025.630115966798,12025.6301159668
2,0.02,5,12025.6301159668,12025.6301159668
2,0.02,6,12025.630115966795,12025.6301159668
2,0.02,7,12025.630115966804,12025.63012654605
2,0.02,8,12025.6301159668,12025.6301159668
2,0.02,9,12025.630115966802,12025.63011378
2,0.02,10,12025.6301159668,12025.6301159668
2,0.02,11,12025.6301159668,12025.6301159668
2,0.02,12,12025.6301159668,12025.6301159668
2,0.02,13,12025.630115966796,12025.6301159668
2,0.02,14,8553.415776031281,11572.217579788332
2,0.02,15,12025.6301159668,12025.6301159668
2,0.04,1,11745.964299316409,11745.964299316409
2,0.04,2,11745.964299316409,11745.96429931641
2,0.04,3,11745.964299316409,11745.964299316407
2,0.04,4,11745.964299316409,11745.964299316409
2,0.04,5,11745.964299316409,11745.964299316407
2,0.04,6,11745.964299316405,11745.964299316409
2,0.04,7,11745.964299316413,11745.96429719795
2,0.04,8,11745.964299316409,11745.964299316409
2,0.04,9,11745.964299316407,11745.96429928
2,0.04,10,11745.96429931641,11745.964299316407
2,0.04,11,11745.964299316407,11745.964299316409
2,0.04,12,11745.96429931641,11745.964299316409
2,0.04,13,11745.96429931641,11745.964299316409
2,0.04,14,11745.964299316409,11578.174347535001
2,0.04,15,11745.964299316409,11745.9643
2,0.06,1,11745.964299316409,11745.964299316409
2,0.06,2,11745.964299316409,11745.96429931641
2,0.06,3,11745.964299316409,11745.964299316409
2,0.06,4,11745.964299316409,11745.964299316409
2,0.06,5,11745.964299316409,11745.964299316407
2,0.06,6,11745.964299316405,11745.964299316409
2,0.06,7,11745.964299316413,11346.441720710047
2,0.06,8,11745.964299316409,11745.964299316409
2,0.06,9,11745.964299316407,11745.96429778
2,0.06,10,11745.96429931641,11745.96429931641
2,0.06,11,11745.964299316407,11745.964299316409
2,0.06,12,11745.96429931641,11745.964299316409
2,0.06,13,11745.96429931641,11745.964299316409
2,0.06,14,11745.964299316409,11745.9643031075
2,0.06,15,11745.964299316409,11745.9643
3,0.0,1,7090.913128906249,6762.376613281246
3,0.0,2,7090.913128906252,7090.91312890625
3,0.0,3,7090.913128906251,7090.91312890625
3,0.0,4,6762.376613281248,7090.91313451225
3,0.0,5,7090.913128906251,7090.913128906252
3,0.0,6,7090.913128906249,7090.91312890625
3,0.0,7,7090.913128906251,7090.913128906249
3,0.0,8,7090.91312890625,7090.913128906251
3,0.0,9,7090.913128906251,7090.91312890625
3,0.0,10,7090.91312890625,7090.91312890625
3,0.0,11,7090.91312890625,7090.913128906251
3,0.0,12,7090.91312890625,7090.91312890625
3,0.0,13,7090.913128906251,7090.91312890625
3,0.0,14,7090.913128906249,7090.913128906249
3,0.0,15,7090.91312890625,7090.913128498154
3,0.02,1,7090.913128906249,7090.913128906249
3,0.02,2,7090.913128906252,7090.913128906251
3,0.02,3,7090.913128906251,7090.913128906251
3,0.02,4,6762.376613281248,6762.37662068865
3,0.02,5,7090.913128906251,7090.913128906251
3,0.02,6,7090.913128906249,7090.913128906251
3,0.02,7,7090.913128906251,7090.91312890625
3,0.02,8,7090.91312890625,7090.91312890625
3,0.02,9,7090.913128906251,7090.91312890625
3,0.02,10,7090.91312890625,7090.91312890625
3,0.02,11,7090.91312890625,7090.91312890625
3,0.02,12,7090.91312890625,7090.913130032498
3,0.02,13,7090.913128906251,7090.91312890625
3,0.02,14,7090.913128906249,7090.913128906251
3,0.02,15,7090.91312890625,7090.91312890625
3,0.04,1,7090.913128906249,7090.913128906249
3,0.04,2,7090.913128906252,7090.913128906251
3,0.04,3,7090.913128906251,7090.91312890625
3,0.04,4,6762.376613281248,6762.37662068865
3,0.04,5,7090.913128906251,7090.913128906251
3,0.04,6,7090.913128906249,7090.913128906251
3,0.04,7,7090.913128906251,7090.91312890625
3,0.04,8,7090.91312890625,7090.91312890625
3,0.04,9,7090.913128906251,7090.91312890625
3,0.04,10,7090.91312890625,7090.913128906249
3,0.04,11,7090.91312890625,7090.913128906251
3,0.04,12,7090.91312890625,7090.91312890625
3,0.04,13,7090.913128906251,7090.913128906249
3,0.04,14,7090.913128906249,7090.913128906251
3,0.04,15,7090.91312890625,7090.91312890625
3,0.06,1,7090.913128906249,7090.913128906249
3,0.06,2,7090.913128906252,7090.913128906251
3,0.06,3,7090.913128906251,7090.913128906251
3,0.06,4,6762.376613281248,6762.37662068865
3,0.06,5,7090.913128906251,7090.913128906251
3,0.06,6,7090.913128906249,7090.913128906251
3,0.06,7,7090.913128906251,7090.91312890625
3,0.06,8,7090.91312890625,7090.91312890625
3,0.06,9,7090.913128906251,7090.91312890625
3,0.06,10,7090.91312890625,7090.913128906249
