landbase,discount_path,path_family,discount_rate,flow_policy,period,projected_mcf,realized_mcf
1,linear-4pc-0pc,linear,0.04,NHF,1,65457.782,65457.782
1,linear-4pc-0pc,linear,0.04,NHF,2,0.0,0.0
1,linear-4pc-0pc,linear,0.04,NHF,3,0.0,0.0
1,linear-4pc-0pc,linear,0.04,NHF,4,0.0,0.0
1,linear-4pc-0pc,linear,0.04,NHF,5,0.0,0.0
1,linear-4pc-0pc,linear,0.04,NHF,6,0.0,0.0
1,linear-4pc-0pc,linear,0.04,NHF,7,30640.0,30640.0
1,linear-4pc-0pc,linear,0.04,NHF,8,11500.0,11500.0
1,linear-4pc-0pc,linear,0.04,NHF,9,21480.0,21480.0
1,linear-4pc-0pc,linear,0.04,NHF,10,0.0,0.0
1,linear-4pc-0pc,linear,0.04,NHF,11,0.0,0.0
1,linear-4pc-0pc,linear,0.04,NHF,12,0.0,0.0
1,linear-4pc-0pc,linear,0.04,NHF,13,0.0,30640.0
1,linear-4pc-0pc,linear,0.04,NHF,14,0.0,0.0
1,linear-4pc-0pc,linear,0.04,NHF,15,45420.0,11500.0
1,linear-4pc-0pc,linear,0.04,NDY,1,10121.666006311607,10121.666006311607
1,linear-4pc-0pc,linear,0.04,NDY,2,10121.666006311607,10196.41544899439
1,linear-4pc-0pc,linear,0.04,NDY,3,10121.666006311616,10024.145264096724
1,linear-4pc-0pc,linear,0.04,NDY,4,10121.666006311616,9834.832459109426
1,linear-4pc-0pc,linear,0.04,NDY,5,10121.666006311616,9811.242648596573
1,linear-4pc-0pc,linear,0.04,NDY,6,10121.666006311618,9766.518647716974
1,linear-4pc-0pc,linear,0.04,NDY,7,10121.66600631161,9493.01927474
1,linear-4pc-0pc,linear,0.04,NDY,8,10121.666006311618,9354.666349608913
1,linear-4pc-0pc,linear,0.04,NDY,9,10121.666006311598,9354.666348230036
1,linear-4pc-0pc,linear,0.04,NDY,10,10121.666006311598,9354.666347220069
1,linear-4pc-0pc,linear,0.04,NDY,11,10121.666006311598,9273.955058190804
1,linear-4pc-0pc,linear,0.04,NDY,12,10121.666006311598,8756.91601269978
1,linear-4pc-0pc,linear,0.04,NDY,13,10121.6660063116,8756.91601075125
1,linear-4pc-0pc,linear,0.04,NDY,14,10121.666006311592,8756.9160143225
1,linear-4pc-0pc,linear,0.04,NDY,15,14534.935108188027,9525.141267152716
1,linear-4pc-0pc,linear,0.04,-10%,1,15108.304397098342,15108.304397098342
