landbase,discount_rate,flow_window,anchoring,period,announced,realized,obj_free,obj_fixed,objective_gap,tail_status,solver_note
1,0.0,2,within-plan,1,9571.608521200546,9571.608521200546,183767276.75771317,183767276.75771317,0.0,optimal,
1,0.0,2,within-plan,2,9571.608521200546,9314.362245645438,184389852.5134933,184355882.9708115,33969.54268181324,suboptimal,
1,0.0,2,within-plan,3,9571.608521200546,9026.54487354878,185475967.80698475,184860485.67625126,615482.13073349,suboptimal,
1,0.0,2,within-plan,4,9571.60852120055,8115.692664067954,186552442.04309306,183235762.0388399,3316680.004253149,suboptimal,
1,0.0,2,within-plan,5,9571.608521200546,8126.90499877486,188765854.33909324,182556058.09984478,6209796.239248455,suboptimal,
1,0.0,2,within-plan,6,9571.608521200553,8147.978969003605,188936803.38021857,177037632.2222705,11899171.157948077,suboptimal,
1,0.0,2,within-plan,7,9571.608521200547,8242.55490535601,187311355.12870547,179894197.75504288,7417157.373662591,suboptimal,
1,0.0,2,within-plan,8,9571.60852120054,8783.351637254644,189562535.14178953,186117550.84781605,3444984.2939734757,suboptimal,
1,0.0,2,within-plan,9,9571.608521200551,8353.915370380251,192043803.25258666,187879513.3453898,4164289.9071968496,suboptimal,
1,0.0,2,within-plan,10,9571.608521200546,8606.35941461521,191678951.26332673,188443845.34171233,3235105.9216144085,suboptimal,
1,0.0,2,within-plan,11,9571.608521200547,8384.56390783082,192197449.37857577,188520425.49079373,3677023.8877820373,suboptimal,
1,0.0,2,within-plan,12,9571.608521200553,8324.625671478527,193046063.84859297,190540689.39745656,2505374.4511364102,suboptimal,
1,0.0,2,within-plan,13,9571.60852120055,8533.125667369091,192879823.24715757,189874283.98333946,3005539.263818115,suboptimal,
1,0.0,2,within-plan,14,9571.608521200551,8361.439520130743,190801673.22882935,187567616.9326213,3234056.296208054,suboptimal,
1,0.0,2,within-plan,15,22506.715444131158,8182.49011463193,192533282.66468552,,,infeasible,
1,0.0,2,realized-history,1,9571.608521200546,9571.608521200546,183767276.75771317,183767276.75771317,0.0,optimal,ok
1,0.0,2,realized-history,2,9571.608521200546,9571.608521200546,184265400.33744588,184265400.33744588,0.0,optimal,ok
1,0.0,2,realized-history,3,9571.608521200546,9571.608521200546,184024463.12768602,184024463.12768602,0.0,optimal,ok
1,0.0,2,realized-history,4,9571.60852120055,9571.608521200546,181772120.89973193,181772120.89973176,1.7881393432617188e-07,optimal,ok
1,0.0,2,realized-history,5,9571.608521200546,9571.608521200546,176452468.49932492,176452468.49932492,0.0,optimal,ok
1,0.0,2,realized-history,6,9571.608521200553,9571.608521200546,169774975.05332634,169774975.05332634,0.0,optimal,ok
1,0.0,2,realized-history,7,9571.608521200547,9571.608517579994,175078077.1642523,175078077.1642523,0.0,optimal,ok
1,0.0,2,realized-history,8,9571.60852120054,9571.608519390269,186458443.43212596,186458443.4321259,5.960464477539063e-08,optimal,ok
1,0.0,2,realized-history,9,9571.608521200551,9571.608518485127,186917220.56100252,186917220.56100252,0.0,optimal,ok
1,0.0,2,realized-history,10,9571.608521200546,9571.608745657033,182830183.61237273,182830183.61237273,0.0,optimal,ok
1,0.0,2,realized-history,11,9571.608521200547,8479.338318208811,193743635.51714227,,,infeasible,relaxed_floor
1,0.0,2,realized-history,12,9571.608521200553,9025.473531932925,193490985.44322696,192060853.69472963,1430131.748497337,suboptimal,ok
1,0.0,2,realized-history,13,9571.60852120055,8752.405925070867,192494054.25551137,191211700.20982152,1282354.045689851,suboptimal,ok
1,0.0,2,realized-history,14,9571.608521200551,8888.939728501897,189207683.80986857,187354671.8345404,1853011.9753281772,suboptimal,ok
1,0.0,2,realized-history,15,22506.715444131158,8820.672826786382,191015735.8585312,,,infeasible,ok
1,0.0,3,within-plan,1,9571.60852120055,9571.60852120055,183767276.7577132,183767276.75771323,-2.9802322387695312e-08,optimal,
1,0.0,3,within-plan,2,9571.60852120055,9314.362245645434,184389852.5134933,184355882.9708115,33969.54268181324,suboptimal,
1,0.0,3,within-plan,3,9571.608521200553,9026.544873548777,185475967.80698475,184860485.67625117,615482.1307335794,suboptimal,
1,0.0,3,within-plan,4,9571.608521200544,8115.692664067964,186552442.0430931,183235762.0388399,3316680.004253179,suboptimal,
1,0.0,3,within-plan,5,9571.608521200551,8126.904997418738,188765854.31178138,182556058.05183432,6209796.259947062,suboptimal,
1,0.0,3,within-plan,6,9571.608521200546,8147.978967515677,188936803.3492096,177037631.82060555,11899171.52860406,suboptimal,
1,0.0,3,within-plan,7,9571.608521200546,8242.554903786831,187311355.0989684,179894197.70963195,7417157.389336437,suboptimal,
1,0.0,3,within-plan,8,9571.608521200546,8783.351635708757,189562535.1173334,186117550.81202716,3444984.305306256,suboptimal,
1,0.0,3,within-plan,9,9571.608521200544,8353.915368063595,192043803.22705975,187879513.3011968,4164289.925862938,suboptimal,
1,0.0,3,within-plan,10,9571.608521200544,8606.359412473515,191678951.24033538,188443845.30746964,3235105.932865739,suboptimal,
1,0.0,3,within-plan,11,9571.608521200544,8384.563906696998,192197449.3488365,188520425.4437759,3677023.905060619,suboptimal,
1,0.0,3,within-plan,12,9571.60852120055,8324.625677669557,193046063.82497466,190540689.36091274,2505374.464061916,suboptimal,
1,0.0,3,within-plan,13,9571.608521200538,8533.12566803013,192879823.21156088,189874283.92994556,3005539.281615317,suboptimal,
1,0.0,3,within-plan,14,9571.608521200544,8361.439520349573,190801673.20062098,187567616.89294213,3234056.3076788485,suboptimal,
1,0.0,3,within-plan,15,22506.71544413115,8182.490114986769,192533282.62869278,,,infeasible,
1,0.0,3,realized-history,1,9571.60852120055,9571.60852120055,183767276.7577132,183767276.75771323,-2.9802322387695312e-08,optimal,ok
1,0.0,3,realized-history,2,9571.60852120055,9571.60852120055,184265400.33744588,184265400.33744588,0.0,optimal,ok
1,0.0,3,realized-history,3,9571.608521200553,9571.608521200547,184024463.12768602,184024463.12768602,0.0,optimal,ok
1,0.0,3,realized-history,4,9571.608521200544,9571.60852120055,181772120.8997319,181772120.8997319,0.0,optimal,ok
1,0.0,3,realized-history,5,9571.608521200551,9571.60852120055,176452468.4993249,176452468.4993249,0.0,optimal,ok
1,0.0,3,realized-history,6,9571.608521200546,9571.608521200547,169774975.0533259,169774975.0533259,0.0,optimal,ok
1,0.0,3,realized-history,7,9571.608521200546,9571.608517580002,175078077.16425237,175078077.16425237,0.0,optimal,ok
1,0.0,3,realized-history,8,9571.608521200546,9571.608519993697,186458443.41852668,186458443.41852668,0.0,optimal,ok
1,0.0,3,realized-history,9,9571.608521200544,9571.608519645977,186917220.2117339,186917220.2117339,0.0,optimal,ok
1,0.0,3,realized-history,10,9571.608521200544,9571.608599446476,182830183.47319165,182830183.47319165,0.0,optimal,ok
1,0.0,3,realized-history,11,9571.608521200544,8479.33835591455,193743635.56007925,,,infeasible,relaxed_floor
1,0.0,3,realized-history,12,9571.60852120055,9207.518491669,193483676.3708774,193155295.68142354,328380.68945384026,suboptimal,ok
1,0.0,3,realized-history,13,9571.608521200538,9086.155149010008,190282008.8741091,188978702.36470756,1303306.50940153,suboptimal,ok
1,0.0,3,realized-history,14,9571.608521200544,8924.337332197852,189103314.45826805,187980086.31390756,1123228.1443604827,suboptimal,ok
1,0.0,3,realized-history,15,22506.71544413115,9072.670324292283,190657613.78440875,,,infeasible,ok
1,0.02,2,within-plan,1,10197.504495872003,10197.504495872003,47471526.290849,47471526.290849,0.0,optimal,
1,0.02,2,within-plan,2,10197.504495872001,10194.429996982148,49329573.77296904,49329573.77296907,-2.9802322387695312e-08,optimal,
1,0.02,2,within-plan,3,10197.504495872003,9915.943258910183,50415169.91339157,50277443.98169582,137725.9316957444,suboptimal,
1,0.02,2,within-plan,4,10197.504495872003,9830.526583419825,51517791.43398581,50765064.11047856,752727.3235072494,suboptimal,
1,0.02,2,within-plan,5,10197.504495872003,9816.822992275933,52418917.56269062,51216702.66673385,1202214.8959567696,suboptimal,
1,0.02,2,within-plan,6,10197.50449587201,9479.219698577088,52311185.27905514,50692063.40044208,1619121.8786130622,suboptimal,
1,0.02,2,within-plan,7,10197.504495871974,9387.99819810319,52321688.07256173,,,infeasible,
1,0.02,2,within-plan,8,10197.50449587199,9384.647244172653,53268283.14529756,,,infeasible,
1,0.02,2,within-plan,9,10197.50449587198,9380.912607525623,52664501.54230501,,,infeasible,
1,0.02,2,within-plan,10,10197.50449587198,9380.912607972157,51435464.05027611,,,infeasible,
