landbase,discount_rate,flow_policy,period,projected_mcf,realized_mcf
1,0.0,NHF,1,7503.016,7503.016
1,0.0,NHF,2,0.0,0.0
1,0.0,NHF,3,41064.2,0.0
1,0.0,NHF,4,0.0,0.0
1,0.0,NHF,5,16890.566,57954.765999999996
1,0.0,NHF,6,0.0,0.0
1,0.0,NHF,7,0.0,0.0
1,0.0,NHF,8,11500.0,11500.0
1,0.0,NHF,9,30640.0,0.0
1,0.0,NHF,10,0.0,0.0
1,0.0,NHF,11,0.0,30640.0
1,0.0,NHF,12,0.0,0.0
1,0.0,NHF,13,21480.0,21480.0
1,0.0,NHF,14,0.0,0.0
1,0.0,NHF,15,42140.0,11500.0
1,0.0,NDY,1,9571.608521200547,9571.608521200547
1,0.0,NDY,2,9571.608521200546,9314.362245645418
1,0.0,NDY,3,9571.608521200547,9026.544873548777
1,0.0,NDY,4,9571.60852120055,8115.692664067959
1,0.0,NDY,5,9571.608521200547,8126.904997418754
1,0.0,NDY,6,9571.60852120055,8147.978967515678
1,0.0,NDY,7,9571.608521200553,8242.55490378682
1,0.0,NDY,8,9571.608521200547,8783.351635708754
1,0.0,NDY,9,9571.608521200547,8353.915368063597
1,0.0,NDY,10,9571.608521200547,8606.359412473515
1,0.0,NDY,11,9571.608521200547,8384.563906697
1,0.0,NDY,12,9571.60852120055,8324.625677669563
1,0.0,NDY,13,9571.608521200551,8533.12566803013
1,0.0,NDY,14,9571.608521200547,8361.439520349575
1,0.0,NDY,15,22506.715444131154,8182.490114986765
1,0.0,-10%,1,13970.019143800462,13970.019143800462
1,0.0,-10%,2,12573.017229420417,12573.017229459632
1,0.0,-10%,3,11315.715506478373,8019.387474795332
1,0.0,-10%,4,10184.143955830536,1581.8592482224835
1,0.0,-10%,5,9165.729560247484,11886.978728960363
1,0.0,-10%,6,8249.156604222728,10856.079074021358
1,0.0,-10%,7,7424.24094380046,7424.2409413
1,0.0,-10%,8,6681.816849420415,10131.521471850458
1,0.0,-10%,9,6013.635164478373,9498.365419517588
1,0.0,-10%,10,5412.271648030535,6077.335953740829
1,0.0,-10%,11,4871.044483227482,8869.453884319999
1,0.0,-10%,12,4383.940034904734,4126.888745469525
1,0.0,-10%,13,3945.546031414261,10034.627243757644
1,0.0,-10%,14,3550.9914282728314,12525.04673234296
1,0.0,-10%,15,53338.69198855002,11622.909030777628
1,0.0,-20%,1,17742.69830427617,17742.69830427617
1,0.0,-20%,2,14194.158643420938,14194.15864566092
1,0.0,-20%,3,11355.32691473675,0.0
1,0.0,-20%,4,9084.261531789401,8011.491819832939
1,0.0,-20%,5,7267.409225431524,11026.176979039647
1,0.0,-20%,6,5813.927380345218,2333.9700733489008
1,0.0,-20%,7,8858.823625098707,11482.127710881214
1,0.0,-20%,8,10841.360631458478,13402.304494123426
1,0.0,-20%,9,8673.088505166785,10556.04868339572
1,0.0,-20%,10,6938.470804133427,3478.258144058034
1,0.0,-20%,11,5550.776643306742,7336.483156789586
1,0.0,-20%,12,4440.621314645393,7060.666589245
1,0.0,-20%,13,3552.4970517163147,7995.072231384145
1,0.0,-20%,14,2841.9976413730465,7993.069129605888
1,0.0,-20%,15,47321.971510248404,15442.194846153563
1,0.0,+/-10%,1,13970.019143800459,13970.019143800459
1,0.0,+/-10%,2,12573.01722942044,12573.017230032845
1,0.0,+/-10%,3,11315.71550647836,9775.118218006539
1,0.0,+/-10%,4,10184.143955830503,9803.274229464647
1,0.0,+/-10%,5,9165.729560247466,9140.215323645749
1,0.0,+/-10%,6,8249.156604222771,8317.35427281405
1,0.0,+/-10%,7,7902.943573965603,6027.844531421427
1,0.0,+/-10%,8,8693.237931362219,7067.868879932406
1,0.0,+/-10%,9,8460.565017938834,8935.200935960558
1,0.0,+/-10%,10,8468.530953056823,7340.617235837595
1,0.0,+/-10%,11,9315.384048362534,8526.416948783093
1,0.0,+/-10%,12,10246.922453198802,9379.058643325001
1,0.0,+/-10%,13,11271.614698518637,11381.07598795998
1,0.0,+/-10%,14,12398.776168370576,9896.720077335325
1,0.0,+/-10%,15,13638.653785207607,8445.54961054319
1,0.0,+/-20%,1,17259.40780822145,17259.40780822145
1,0.0,+/-20%,2,13807.526246577163,13753.857039984912
1,0.0,+/-20%,3,11046.020997261725,8768.970764051714
1,0.0,+/-20%,4,8836.816797809355,6559.163827606448
1,0.0,+/-20%,5,7069.453438247491,10054.992838242304
1,0.0,+/-20%,6,7438.556711882814,7438.556708916658
1,0.0,+/-20%,7,8926.268054259404,7179.894894933305
1,0.0,+/-20%,8,10711.521665111282,8178.6953201250035
1,0.0,+/-20%,9,8569.217332089025,8350.020917889335
1,0.0,+/-20%,10,6855.37386567122,6446.74178151342
1,0.0,+/-20%,11,7989.506297185848,8007.271637671327
1,0.0,+/-20%,12,9587.40755662301,9608.725964809999
1,0.0,+/-20%,13,11504.889067947624,12303.492650409898
1,0.0,+/-20%,14,13805.866881537131,9170.228231026318
1,0.0,+/-20%,15,16567.040257844565,11387.202601628016
1,0.02,NHF,1,65457.782,65457.782
1,0.02,NHF,2,0.0,0.0
